id	name	pub_id	rule_type	status_id	status_reason_id	priority	floor_value	start_date	end_date	timezone	start_time_parting	end_time_parting	days_of_week	migrated	publisher_owned	auction_type	matched_users	latest_rule_id	created_from	deleted	publisher_editable	creation_time	modification_time	goal_cpm_enabled	minimum_bid_value	additional_info	last_edited_by	owner_id	owner_type	archived	channel_type_id	rule_description	deal_category	failed_reason	currency_id	always_on	applicability
59049	PM_Seznam_DBM_AO_News_08022017	49307	ENDL	1	NULL	13	1.65	2017-02-08 23:39:35	2032-12-31 23:59:59	1	00:00:00	23:59:59	127	0	1	2	0	2886455	NULL	0	0	2017-02-07 23:39:56	2020-02-12 23:50:56	0	0		1	49307	1	0	1	NULL	1	NULL	1	1	0
59050	PM_Seznam_DBM_AO_Entertainment_08022017	49307	ENDL	1	NULL	13	1.1	2017-02-08 23:58:22	2032-12-31 23:59:59	1	00:00:00	23:59:59	127	0	1	2	0	2886456	NULL	0	0	2017-02-07 23:58:42	2020-02-12 23:51:20	0	0		1	49307	1	0	1	NULL	1	NULL	1	1	0
59746	PM_Seznam_Sports_DBM_AO_22022017	49307	ENDL	1	NULL	13	1.5	2017-02-22 06:00:13	2032-12-31 23:59:59	1	00:00:00	23:59:59	127	0	1	2	0	2886457	NULL	0	0	2017-02-22 06:00:22	2020-02-12 23:51:54	0	0		1	49307	1	0	1	NULL	1	NULL	1	1	0
59748	PM_Seznam_Shopping_DBM_AO_22022017	49307	ENDL	1	NULL	13	0.8	2017-02-22 06:06:29	2032-12-31 23:59:59	1	00:00:00	23:59:59	127	0	1	2	0	2886458	NULL	0	0	2017-02-22 06:06:38	2020-02-12 23:52:16	0	0		1	49307	1	0	1	NULL	1	NULL	1	1	0
61495	PM_Seznam_Tech_DBM_AnyBuyer_29032017	49307	ENDL	1	NULL	13	0.7	2017-03-29 00:41:30	2032-12-31 23:59:59	1	00:00:00	23:59:59	127	0	1	2	0	2886471	NULL	0	0	2017-03-29 00:41:38	2020-02-12 23:58:49	0	0		1	49307	1	0	1	NULL	1	NULL	1	1	0
75824	Seznam_Adform_Test	49307	ENDL	1	NULL	5	1	2018-03-05 01:41:29	2032-12-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2629413	NULL	0	0	2018-03-05 01:41:30	2019-05-27 22:03:34	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
124655	Sun_Marketing_CZ_Adform_Branding_2019	49307	ENDL	1	NULL	5	10.8	2018-08-22 05:12:12	2032-12-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2880718	NULL	0	0	2018-08-22 05:12:14	2020-01-08 04:00:13	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
124727	ANT_Adform_Branding_2019	49307	ENDL	1	NULL	5	10.8	2018-08-23 03:29:37	2032-12-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2880726	NULL	0	0	2018-08-23 03:29:39	2020-01-08 04:00:32	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
124795	Seznam_Adexpres_Dentsu_LOW_Branding_2019	49307	ENDL	1	NULL	5	9	2018-08-24 04:31:58	2032-12-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2880729	NULL	0	0	2018-08-24 04:31:59	2020-01-08 04:00:40	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
124845	VF_CZ - PD - Seznam - Branding - url - high18	49307	ENDL	1	NULL	2	5.25	2018-08-27 22:32:00	2020-04-30 23:55:00	1	00:00:00	23:59:59	127	0	1	3	0	2883807	NULL	0	0	2018-08-26 22:32:06	2020-01-31 07:20:15	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
